year,month,day,obs_duration,obs_day,obs_night,home_time,dist_traveled,max_dist_home,radius,diameter,num_sig_places,entropy,total_flight_time,av_flight_length,sd_flight_length,av_flight_duration,sd_flight_duration,total_pause_time,av_pause_duration,sd_pause_duration
2021,6,18,12.26563722219732,0.011111111111111112,12.254526111086209,24.0,0.0,0.005061039823326791,4.6460835974830984e-05,0.0,1,-9.999950000398841e-06,0.0,0.0,0.0,0.0,0.0,24.0,2.4,4.523425967237495
2021,6,19,0.0,0.0,0.0,,,,,,,,,,,,,,,
2021,6,20,0.0,0.0,0.0,,,,,,,,,,,,,,,
2021,6,21,0.0,0.0,0.0,,,,,,,,,,,,,,,
2021,6,22,0.6805555555555556,0.46111111111111114,0.21944444444444444,22.908333333333335,46.609,10.10151321139539,0.29055965956322943,13.874629881137606,1,-9.999950000398841e-06,0.8145184395710627,0.3820409836065574,1.1414364145603024,0.006676380652221826,0.016321872360509054,23.185481560428936,0.047414072720713574,0.32949605997917636
2021,6,23,0.6888888888888889,0.45,0.2388888888888889,15.82310592273871,21.389,7.489693523222728,3.1964041173490885,7.572277015079836,2,0.6143111833665444,3.7804046999083627,0.09994859813084112,0.4187255722241996,0.017665442522936274,0.14000827422710815,20.219595300091637,0.04320426346173427,0.19073186331039294
2021,6,24,0.5833333333333334,0.4,0.18333333333333332,20.947581666641764,18.956,4.8123720392064335,0.7399921204733942,5.148402596826772,3,0.2661872516624318,1.1635567066404555,0.11773913043478261,0.4062342365291685,0.007227060289692271,0.017976246941329516,22.836443293359544,0.049861229898164945,0.2061886460770636
2021,6,25,0.7694444444444445,0.37222222222222223,0.3972222222222222,18.74861111111111,13.821,6.794361382441561,1.6825054823107508,6.898446662696976,4,0.6789371783904383,1.1629119177659353,0.0772122905027933,0.4288589246816617,0.0064967146243907,0.017956044930053545,22.837088082234065,0.04632269387877092,0.267503004656297
2021,6,26,0.6944444444444444,0.4,0.29444444444444445,19.575835347771644,29.614,12.774325974636623,2.248227287996383,12.904044519923193,4,0.4314512731341924,0.9884705330265893,0.09904347826086957,0.18282962109692047,0.0033059215151390944,0.00449685804546643,23.01152946697341,0.03867483944029145,0.2621489515472449
2021,6,27,0.6555555555555556,0.5083333333333333,0.14722222222222223,16.17047388891379,33.074,10.566473153198803,2.888377988641329,15.14173850641437,3,0.6554653929109902,1.7482086927360958,0.13610699588477365,0.5330300341992606,0.007194274455704098,0.03134721872678273,22.251791307263904,0.04694470739929094,0.29671521130970924
2021,6,28,0.9388888888888889,0.4861111111111111,0.4527777777777778,12.955555555555556,41.229,10.093550622173426,3.55417537216527,11.038834452296072,3,0.7523236352481459,1.9880421353711022,0.12569817073170733,0.4914355623557104,0.00606110407125336,0.02877583386479065,22.011957864628897,0.034286538729951556,0.12758208877644783
2021,6,29,0.6638888888888889,0.3472222222222222,0.31666666666666665,20.46450540449884,7.483,1.43435143492377,0.12943431898960106,2.0119251617429548,2,0.3825383678360002,0.9635706939299902,0.05125342465753425,0.13348812535787366,0.006599799273493083,0.016968012333701304,23.03642930607001,0.05394948315238878,0.364273349939799
2021,6,30,1.1805555555555556,0.5944444444444444,0.5861111111111111,21.298201448255114,7.851,3.8142493508499205,0.7114251743124356,4.122087773191037,2,0.3301457555421919,0.8688347877396477,0.04538150289017341,0.09521478065691685,0.005022166403119351,0.014123811493257244,23.131165212260353,0.029885226372429397,0.06277139434057898
2021,7,1,0.7666666666666667,0.43333333333333335,0.3333333333333333,18.661598559419314,27.452,4.244123792817953,1.0864507251088125,7.589627591698674,4,0.5999957381435514,1.766840624279446,0.09734751773049645,0.4667062493721915,0.006265392284678886,0.01663313476474314,22.233159375720554,0.04455542961066243,0.23022113965367952
2021,7,2,0.7527777777777778,0.475,0.2777777777777778,20.553169654077955,27.671,11.112373051451844,1.7640758566958235,11.203233716138232,2,0.23880558552474546,1.92440792646673,0.11825213675213675,0.1825540562014584,0.008223965497721067,0.02764253780041406,22.07559207353327,0.03654899349922727,0.24257113065861782
2021,7,3,0.6777777777777778,0.41944444444444445,0.25833333333333336,11.467287139362758,46.968,10.322716050882242,3.859392782420254,12.158098562487819,5,1.1131444111672824,2.418751218451394,0.12728455284552845,0.3380200083955809,0.006554881350816786,0.016900501912191765,21.581248781548606,0.0376636104390028,0.2669977619163135
2021,7,4,1.1777777777777778,0.525,0.6527777777777778,20.31801505015956,7.41,3.7316402386228704,0.5993295506680105,3.8380829926666475,3,0.4239635137499567,0.9185338490539127,0.048116883116883113,0.23338399738294158,0.005964505513337096,0.016055391582079158,23.08146615094609,0.03192457282288532,0.06152160948070306
2021,7,5,0.7694444444444445,0.4305555555555556,0.3388888888888889,13.901714020636346,26.667,7.57293125822456,3.294997054006105,7.755056725097834,4,0.8266135667748724,1.4278242341677347,0.09422968197879858,0.23240664428165408,0.005045315315080335,0.012626208096011508,22.572175765832267,0.04074399957731456,0.25135698013228636
2021,7,6,1.0833333333333333,0.6694444444444444,0.41388888888888886,17.9875,22.904,7.471902251551102,2.5354405350788527,7.534705743241164,2,0.5155376221018257,0.87414826783869,0.13472941176470588,0.2811492334826636,0.005142048634345235,0.012205339438904957,23.12585173216131,0.033711154128515025,0.1358891614886918
2021,7,7,1.0833333333333333,0.6638888888888889,0.41944444444444445,11.9,31.432,12.232786455429851,3.7765352263015104,12.296204748441232,2,0.6889330427882161,1.6940577056672839,0.15955329949238578,0.4487346490190278,0.008599277693742557,0.036082201684600204,22.305942294332716,0.03275468765687624,0.1550114891033607
