year,month,day,obs_duration,obs_day,obs_night,home_time,dist_traveled,max_dist_home,radius,diameter,num_sig_places,entropy,total_flight_time,av_flight_length,sd_flight_length,av_flight_duration,sd_flight_duration,total_pause_time,av_pause_duration,sd_pause_duration
2022,2,21,15.373823611140251,0.075,15.298823611140252,8.609509722193081,1049.861,1049.7752121831206,0.011434803182590127,1049.781547657486,1,-9.999950000398841e-06,15.37660138891803,149.98014285714288,366.1318818483809,2.1966573412740042,5.348959374697591,8.62339861108197,1.7246797222163943,3.409140683793882
2022,2,22,0.0,0.0,0.0,,,,,,,,,,,,,,,
2022,2,23,0.08333333333333333,0.08333333333333333,0.0,8.77274691787031,7.826,7.599207376541308,3.4215959131830362,7.604325657443748,5,0.9556127067155029,0.4461844472752677,0.13043333333333335,0.22944653456137057,0.007436407454587795,0.005086191918273399,23.553815552724732,0.39256359254541223,1.8305830900214957
2022,2,24,0.0,0.0,0.0,,,,,,,,,,,,,,,
2022,2,25,0.0,0.0,0.0,,,,,,,,,,,,,,,
2022,2,26,0.0,0.0,0.0,,,,,,,,,,,,,,,
2022,2,27,0.0,0.0,0.0,,,,,,,,,,,,,,,
2022,2,28,0.0,0.0,0.0,,,,,,,,,,,,,,,
2022,3,1,0.0,0.0,0.0,,,,,,,,,,,,,,,
2022,3,2,0.0,0.0,0.0,,,,,,,,,,,,,,,
2022,3,3,0.0,0.0,0.0,,,,,,,,,,,,,,,
2022,3,4,0.0,0.0,0.0,,,,,,,,,,,,,,,
2022,3,5,0.0,0.0,0.0,,,,,,,,,,,,,,,
2022,3,6,0.03888888888888889,0.03888888888888889,0.0,4.652622236410777,12.07,11.852059976674562,4.263730708392841,11.883875478126395,7,1.0754256867471677,0.5999430413378609,0.20116666666666666,0.44793203229458317,0.009999050688964348,0.02297856784216791,23.400056958662137,0.37142947553431965,1.7954437900158748
2022,3,7,0.0,0.0,0.0,,,,,,,,,,,,,,,
2022,3,8,0.0,0.0,0.0,,,,,,,,,,,,,,,
2022,3,9,0.05555555555555555,0.05555555555555555,0.0,24.0,0.019,0.015898757407230107,0.004933077677884637,0.017153103415228178,1,-9.999950000398841e-06,0.008333333333333333,0.0095,0.0055,0.004166666666666667,0.001388888888888889,23.991666666666667,4.798333333333333,7.658269086733535
2022,3,10,0.0,0.0,0.0,,,,,,,,,,,,,,,
2022,3,11,0.0,0.0,0.0,,,,,,,,,,,,,,,
2022,3,12,0.0,0.0,0.0,,,,,,,,,,,,,,,
2022,3,13,0.0,0.0,0.0,,,,,,,,,,,,,,,
2022,3,14,0.0,0.0,0.0,,,,,,,,,,,,,,,
2022,3,15,0.03611111111111111,0.03611111111111111,0.0,7.4657995006110935,12.008,11.904468040779825,5.81057665363372,11.902660260275162,5,0.9391144687609789,3.3967312828037475,0.5718095238095239,1.9680428668155536,0.16174910870494036,0.6880132579694893,20.603268717196254,0.8584695298831772,2.5484367866964472
2022,3,16,0.0,0.0,0.0,,,,,,,,,,,,,,,
2022,3,17,0.016666666666666666,0.016666666666666666,0.0,0.0,1.595,96.18712069787972,0.7750176606943285,1.5952182768775747,2,0.678896108521529,0.016666666666666666,1.595,0.0,0.016666666666666666,0.0,23.983333333333334,11.991666666666667,2.0182680555846955
