year,month,day,obs_duration,obs_day,obs_night,home_time,dist_traveled,max_dist_home,radius,diameter,num_sig_places,entropy,total_flight_time,av_flight_length,sd_flight_length,av_flight_duration,sd_flight_duration,total_pause_time,av_pause_duration,sd_pause_duration
2022,2,14,18.008516944448154,17.7779613888926,0.23055555555555557,2.7237744206852383,40.541,30.17902587624152,6.8285759566092255,30.178678747250185,2,0.37428445055199644,0.9877863128980001,0.5265064935064935,0.5692675317327583,0.012828393674000002,0.030552323237400147,23.012213687102,0.12240539195267022,1.276093543744566
2022,2,15,0.6138888888888889,0.5416666666666666,0.07222222222222222,9.794628055559265,1423.322,204.65602272583962,4.909423065991184,382.7627509736949,5,1.248324648080025,1.9347431189484066,8.227294797687861,19.57693012446194,0.011183486236695992,0.03090590605332016,22.065256881051592,0.09429596957714355,0.4395433074459239
2022,2,16,0.6194444444444445,0.575,0.044444444444444446,12.338815776440832,876.307,330.26939488274536,7.688946932868312,359.9243591368724,4,0.5334149908056552,7.155252753429942,4.587994764397906,33.62024994822502,0.03746205630068033,0.3166629530715202,16.84474724657006,0.06429292842202312,0.5467943815110629
2022,2,17,0.6916666666666667,0.6916666666666667,0.0,0.09201944271723429,433.755,219.79069291255746,42.26336688991276,234.11324327674302,7,1.855539954254047,18.690685334073173,2.259140625,10.92170990628755,0.09734731944829778,0.8368066244046697,5.309314665926827,0.03339191613790457,0.07414008748611775
2022,2,18,0.05555555555555555,0.03888888888888889,0.016666666666666666,8.922038611107402,158.047,158.04748843492945,0.0,158.04728139329166,1,-9.999950000398841e-06,15.077961388892598,158.047,0.0,15.077961388892598,0.0,8.922038611107402,0.23479048976598427,0.5669977753761882
2022,2,19,0.85,0.775,0.075,11.27512961241934,773.023,230.6390147591686,9.735113939662385,296.09611888296615,4,0.696107727219,7.1912974260913005,3.1045100401606422,15.779408041923297,0.028880712554583535,0.28925807152684224,16.8087025739087,0.052200939670523916,0.4700227707505742
2022,2,20,0.09166666666666666,0.06666666666666667,0.025,23.902594166662958,109.61,109.43033724669378,0.0984180202921144,109.46697822269175,1,-9.999950000398841e-06,0.10038391020562913,18.26833333333333,36.24150148042373,0.01673065170093819,0.027381329092161222,23.89961608979437,0.4192915103472697,1.5111252302465086
2022,2,21,0.5166666666666667,0.5166666666666667,0.0,16.775,84.081,30.180596477296884,6.435568944106456,33.33509764663127,3,0.4018864889894838,3.3364102290736306,0.5531644736842105,2.0137601659192548,0.02195006729653704,0.14150487994026148,20.663589770926368,0.1350561422936364,1.0486408329730776
2022,2,22,0.0,0.0,0.0,,,,,,,,,,,,,,,
2022,2,23,0.0,0.0,0.0,,,,,,,,,,,,,,,
2022,2,24,0.0,0.0,0.0,,,,,,,,,,,,,,,
2022,2,25,0.0,0.0,0.0,,,,,,,,,,,,,,,
2022,2,26,0.0,0.0,0.0,,,,,,,,,,,,,,,
2022,2,27,0.0,0.0,0.0,,,,,,,,,,,,,,,
2022,2,28,0.0,0.0,0.0,,,,,,,,,,,,,,,
2022,3,1,0.0,0.0,0.0,,,,,,,,,,,,,,,
2022,3,2,0.0,0.0,0.0,,,,,,,,,,,,,,,
2022,3,3,0.0,0.0,0.0,,,,,,,,,,,,,,,
2022,3,4,0.07777777777777778,0.011111111111111112,0.06666666666666667,24.0,0.054,0.03063498960838007,0.01414283140288854,0.04243777722260496,1,-9.999950000398841e-06,0.015103791289859348,0.018,0.011575836902790225,0.005034597096619783,0.0016100953247792003,23.98489620871014,0.532997693526892,2.3123581437008434
2022,3,5,0.4305555555555556,0.35833333333333334,0.07222222222222222,15.081944444444444,65.853,27.86792059375474,1.7652367305793386,27.880383465970315,2,0.09194146400600227,7.857234248916308,0.9020958904109588,3.241703172185642,0.10763334587556586,0.8239574626938033,16.14276575108369,0.12914212600866953,0.8415951967558153
2022,3,6,7.048427499996292,0.0,7.048427499996292,3.0295207770665487,48.494,47.68475852981667,10.77382754228091,30.11363172150369,4,1.0842208912499345,7.590125564932823,0.9508627450980393,2.784218741544733,0.14882599146927103,0.9730155905802605,16.409874435067177,0.25245960669334117,0.9335096481343295
