status,x0,y0,t0,x1,y1,t1,obs
1.0,35.754360012,51.51068974,1643468405.056,35.753868377,51.5100319725,1643468445.056,1.0
2.0,35.753868377,51.5100319725,1643468445.056,35.753868377,51.5100319725,1643468475.056,1.0
1.0,35.753868377,51.5100319725,1643468475.056,35.75230319,51.50773153777777,1643468555.056,1.0
1.0,35.75230319,51.50773153777777,1643468555.056,35.755009345454546,51.504597478181815,1643468605.056,1.0
1.0,35.755009345454546,51.504597478181815,1643468605.056,35.75344262428572,51.50255683857143,1643468665.056,1.0
1.0,35.75344262428572,51.50255683857143,1643468665.056,35.75288564051578,51.50304409390539,1643468695.056,0.0
2.0,35.75288564051578,51.50304409390539,1643468695.056,35.75288564051578,51.50304409390539,1643468825.056,0.0
1.0,35.75288564051578,51.50304409390539,1643468825.056,35.750458453090914,51.505167328590915,1643468975.056,0.0
2.0,35.750458453090914,51.505167328590915,1643468975.056,35.750458453090914,51.505167328590915,1643469105.056,1.0
1.0,35.750458453090914,51.505167328590915,1643469105.056,35.749316619090905,51.50391128545454,1643469145.056,1.0
1.0,35.749316619090905,51.50391128545454,1643469145.056,35.74898382318182,51.506921227525254,1643469195.056,1.0
2.0,35.74898382318182,51.506921227525254,1643469195.056,35.74898382318182,51.506921227525254,1643469225.056,1.0
1.0,35.74898382318182,51.506921227525254,1643469225.056,35.74876296246754,51.50733597883117,1643469245.056,1.0
2.0,35.74876296246754,51.50733597883117,1643469245.056,35.74876296246754,51.50733597883117,1643469265.056,1.0
1.0,35.74876296246754,51.50733597883117,1643469265.056,35.740025429999996,51.513958088,1643469575.056,0.0
1.0,35.740025429999996,51.513958088,1643469575.056,35.738043662,51.514288367999995,1643469605.056,1.0
1.0,35.738043662,51.514288367999995,1643469605.056,35.737310628,51.514058491,1643469625.056,1.0
1.0,35.737310628,51.514058491,1643469625.056,35.737165887,51.51348647100001,1643469665.056,1.0
2.0,35.737165887,51.51348647100001,1643469665.056,35.737165887,51.51348647100001,1643469685.056,1.0
1.0,35.737165887,51.51348647100001,1643469685.056,35.737147827,51.513414537,1643469695.056,1.0
2.0,35.737147827,51.513414537,1643469695.056,35.737147827,51.513414537,1643469815.056,1.0
1.0,35.737147827,51.513414537,1643469815.056,35.73735371957143,51.513451902214285,1643469825.056,1.0
2.0,35.73735371957143,51.513451902214285,1643469825.056,35.73735371957143,51.513451902214285,1643469865.056,1.0
1.0,35.73735371957143,51.513451902214285,1643469865.056,35.73749332,51.51362510999999,1643469871.8581011,0.0
2.0,35.73749332,51.51362510999999,1643469871.8581011,35.73749332,51.51362510999999,1643470285.056,0.0
1.0,35.73749332,51.51362510999999,1643470285.056,35.737245297071425,51.513432411357144,1643470295.056,1.0
2.0,35.737245297071425,51.513432411357144,1643470295.056,35.737245297071425,51.513432411357144,1643470465.056,1.0
1.0,35.737245297071425,51.513432411357144,1643470465.056,35.7371348475,51.5133650275,1643470468.0527585,0.0
2.0,35.7371348475,51.5133650275,1643470468.0527585,35.7371348475,51.5133650275,1643470765.056,0.0
2.0,35.7371348475,51.5133650275,1643470765.056,35.7371348475,51.5133650275,1643470875.056,1.0
1.0,35.7371348475,51.5133650275,1643470875.056,35.737139111,51.512569551,1643470905.056,1.0
1.0,35.737139111,51.512569551,1643470905.056,35.734878935454546,51.511461556363635,1643470945.056,1.0
1.0,35.734878935454546,51.511461556363635,1643470945.056,35.73456324222222,51.51136692777777,1643470955.056,1.0
1.0,35.73456324222222,51.51136692777777,1643470955.056,35.734544979,51.511769740999995,1643470975.056,1.0
2.0,35.734544979,51.511769740999995,1643470975.056,35.734544979,51.511769740999995,1643470995.056,1.0
1.0,35.734544979,51.511769740999995,1643470995.056,35.7345849,51.51143212799999,1643471015.056,1.0
1.0,35.7345849,51.51143212799999,1643471015.056,35.73491731079365,51.51160583071428,1643471035.056,1.0
2.0,35.73491731079365,51.51160583071428,1643471035.056,35.73491731079365,51.51160583071428,1643471065.056,1.0
1.0,35.73491731079365,51.51160583071428,1643471065.056,35.73455515999999,51.51184771333332,1643471090.1926346,0.0
2.0,35.73455515999999,51.51184771333332,1643471090.1926346,35.73455515999999,51.51184771333332,1643471375.056,0.0
1.0,35.73455515999999,51.51184771333332,1643471375.056,35.73449650238095,51.511570969126986,1643471385.056,1.0
2.0,35.73449650238095,51.511570969126986,1643471385.056,35.73449650238095,51.511570969126986,1643471665.056,1.0
2.0,35.73449650238095,51.511570969126986,1643471665.056,35.73449650238095,51.511570969126986,1643471975.056,0.0
2.0,35.73449650238095,51.511570969126986,1643471975.056,35.73449650238095,51.511570969126986,1643472265.056,1.0
1.0,35.73449650238095,51.511570969126986,1643472265.056,35.734618833750005,51.5115742375,1643472265.1194406,0.0
2.0,35.734618833750005,51.5115742375,1643472265.1194406,35.734618833750005,51.5115742375,1643472575.056,0.0
1.0,35.734618833750005,51.5115742375,1643472575.056,35.73457402619047,51.51167561055556,1643472585.056,1.0
2.0,35.73457402619047,51.51167561055556,1643472585.056,35.73457402619047,51.51167561055556,1643472865.056,1.0
