status,x0,y0,t0,x1,y1,t1,obs
2.0,35.94731247105419,-53.771011921406256,1622666795.017,35.94731247105419,-53.771011921406256,1622666805.017,1.0
1.0,35.94731247105419,-53.771011921406256,1622666805.017,35.94696523527456,-53.76949630503964,1622666815.017,0.0
2.0,35.94696523527456,-53.76949630503964,1622666815.017,35.94696523527456,-53.76949630503964,1622666825.017,0.0
1.0,35.94696523527456,-53.76949630503964,1622666825.017,35.94662526054629,-53.76801233083336,1622666835.017,0.0
2.0,35.94662526054629,-53.76801233083336,1622666835.017,35.94662526054629,-53.76801233083336,1622666845.017,0.0
1.0,35.94662526054629,-53.76801233083336,1622666845.017,35.94624075427512,-53.766334061799384,1622666855.017,0.0
2.0,35.94624075427512,-53.766334061799384,1622666855.017,35.94624075427512,-53.766334061799384,1622666865.017,0.0
1.0,35.94624075427512,-53.766334061799384,1622666865.017,35.944757096115474,-53.75985833939895,1622666905.017,0.0
2.0,35.944757096115474,-53.75985833939895,1622666905.017,35.944757096115474,-53.75985833939895,1622666930.017,0.0
1.0,35.944757096115474,-53.75985833939895,1622666930.017,35.94402689153433,-53.75667051931632,1622666950.017,0.0
2.0,35.94402689153433,-53.75667051931632,1622666950.017,35.94402689153433,-53.75667051931632,1622666960.017,0.0
1.0,35.94402689153433,-53.75667051931632,1622666960.017,35.94364592859982,-53.75500757814529,1622666970.017,0.0
2.0,35.94364592859982,-53.75500757814529,1622666970.017,35.94364592859982,-53.75500757814529,1622666980.017,0.0
1.0,35.94364592859982,-53.75500757814529,1622666980.017,35.93922149554948,-53.735384285612604,1622667050.017,0.0
2.0,35.93922149554948,-53.735384285612604,1622667050.017,35.93922149554948,-53.735384285612604,1622667060.017,0.0
1.0,35.93922149554948,-53.735384285612604,1622667060.017,35.938858089535906,-53.73380285049348,1622667070.017,0.0
2.0,35.938858089535906,-53.73380285049348,1622667070.017,35.938858089535906,-53.73380285049348,1622667080.017,0.0
1.0,35.938858089535906,-53.73380285049348,1622667080.017,35.93847517804449,-53.732136101737346,1622667090.017,0.0
2.0,35.93847517804449,-53.732136101737346,1622667090.017,35.93847517804449,-53.732136101737346,1622667100.017,0.0
1.0,35.93847517804449,-53.732136101737346,1622667100.017,35.9380931151825,-53.730473363187976,1622667110.017,0.0
2.0,35.9380931151825,-53.730473363187976,1622667110.017,35.9380931151825,-53.730473363187976,1622667120.017,0.0
